open;high;low;close;volume;marketCap;timestamp
23.1304762492;23.2520052516;23.1304762492;23.2520052516;298346861.14;9631880288.61;"2023-10-07T20:00:00.000Z"
23.2520105144;23.3307056154;23.2520105144;23.3307056154;287221787.5;9664481024.51;"2023-10-07T21:00:00.000Z"
23.331245941;23.3580757233;23.2986379682;23.312031022;283643918.06;9656743357.93;"2023-10-07T22:00:00.000Z"
23.3119075301;23.3169385444;23.2837601368;23.2873019255;278403509;9646499611.33;"2023-10-07T23:00:00.000Z"
23.2893354047;23.397768;23.2893354047;23.397768;273549573.96;9692256905.79;"2023-10-08T00:00:00.000Z"
23.3976630057;23.3976630057;23.2374967262;23.3123850886;276511713.42;9656888014.52;"2023-10-08T01:00:00.000Z"
23.3146726406;23.5402029643;23.3146726406;23.4670112682;285321835.1;9720938164.14;"2023-10-08T02:00:00.000Z"
23.4663086741;23.6137068971;23.4663086741;23.555226787;285259345.98;9757480423.14;"2023-10-08T03:00:00.000Z"
23.555226787;23.5569421569;23.4146229619;23.4267133728;260571464.63;9704243282.68;"2023-10-08T04:00:00.000Z"
23.428297201;23.428297201;23.3285977054;23.3947232647;255074557.91;9690991752.84;"2023-10-08T05:00:00.000Z"
23.3952681721;23.4551888302;23.3369324721;23.3369324721;247609705.49;9667050648.06;"2023-10-08T06:00:00.000Z"
23.3309215486;23.386161083;23.2701774762;23.360981228;248059543.39;9677012563.21;"2023-10-08T07:00:00.000Z"
23.3602044183;23.4474002106;23.3076903097;23.4400351959;219985794.12;9709757780.1;"2023-10-08T08:00:00.000Z"
23.4408319086;23.5064123198;23.4397225397;23.4792487543;216143871.27;9726001533.6;"2023-10-08T09:00:00.000Z"
23.4787413462;23.5089200047;23.2499974141;23.2499974141;215654553.8;9631034618.3;"2023-10-08T10:00:00.000Z"
23.2459426278;23.2794716818;23.2121118428;23.2396613053;209906485.92;9626753008.29;"2023-10-08T11:00:00.000Z"
23.2408269879;23.3312655824;23.2296362728;23.2370764917;195015002.23;9625680334.84;"2023-10-08T12:00:00.000Z"
23.2361677652;23.4034808019;23.1442786879;23.3330658977;198121638.22;9665442795.41;"2023-10-08T13:00:00.000Z"
23.3346178886;23.3951102397;23.3013927809;23.3767466713;198824131.29;9683535069.58;"2023-10-08T14:00:00.000Z"
23.3909721881;23.4580816862;23.3578989661;23.4580816862;189783607.81;9717227117.53;"2023-10-08T15:00:00.000Z"
23.4623429559;23.5517814895;23.4518306841;23.4757751534;190441895.96;9724554484.79;"2023-10-08T16:00:00.000Z"
23.4702519016;23.4702519016;23.4099549461;23.4301549944;186159008.99;9705656888.48;"2023-10-08T17:00:00.000Z"
